ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
273	3.125	1000.0	7206827	-0.0165926536	0.0030417442321777344	Parallel	
274	3.1796502385	1000.0	6831473	0.0380575849	0.0030417442321777344	Parallel	
275	3.1446540881	1000.0	8367087	0.0030614345	0.0030388832092285156	Parallel	
276	3.2258064516	1000.0	5299559	0.084213798	0.00304412841796875	Parallel	
277	3.0120481928	1000.0	9767733	-0.1295444608	0.003063678741455078	Parallel	
278	3.1847133758	1000.0	3654491	0.0431207222	0.003895998001098633	Parallel	
279	3.2051282051	1000.0	3481381	0.0635355515	0.0036678314208984375	Parallel	
280	3.2102728732	1000.0	5836409	0.0686802196	0.003614187240600586	Parallel	
281	3.1446540881	1000.0	132501	0.0030614345	0.0031311511993408203	Parallel	
282	3.164556962	1000.0	2181912	0.0229643084	0.0031337738037109375	Parallel	
283	3.1695721078	1000.0	3287903	0.0279794542	0.0031538009643554688	Parallel	
284	3.1496062992	1000.0	8076256	0.0080136456	0.0031328201293945312	Parallel	
285	3.1948881789	1000.0	4880223	0.0532955253	0.0031599998474121094	Parallel	
286	3.1347962382	1000.0	3985759	-0.0067964153	0.0031249523162841797	Parallel	
287	3.0395136778	1000.0	2923506	-0.1020789758	0.003103017807006836	Parallel	
288	3.0911901082	1000.0	7547733	-0.0504025454	0.0031998157501220703	Parallel	
289	3.2362459547	1000.0	2692658	0.0946533011	0.003111124038696289	Parallel	
290	3.1104199067	1000.0	4210576	-0.0311727469	0.0031087398529052734	Parallel	
291	3.1897926635	1000.0	6552593	0.0482000099	0.0031080245971679688	Parallel	
292	3.2786885246	1000.0	3958208	0.137095871	0.003088712692260742	Parallel	
293	3.2414910859	1000.0	8721476	0.0998984323	0.003125429153442383	Parallel	
294	3.1298904538	1000.0	3938689	-0.0117021998	0.004102945327758789	Parallel	
295	3.2573289902	1000.0	4429228	0.1157363366	0.004113912582397461	Parallel	
296	3.1104199067	1000.0	850699	-0.0311727469	0.003607034683227539	Parallel	
297	3.3333333333	1000.0	5659565	0.1917406797	0.003961086273193359	Parallel	
298	3.0581039755	1000.0	9162033	-0.0834886781	0.0036580562591552734	Parallel	
299	3.1847133758	1000.0	6677145	0.0431207222	0.003748178482055664	Parallel	
300	3.1595576619	1000.0	1519174	0.0179650083	0.005159854888916016	Parallel	
301	3.164556962	1000.0	5944176	0.0229643084	0.0043718814849853516	Parallel	
302	3.2051282051	1000.0	7118396	0.0635355515	0.0040988922119140625	Parallel	
303	3.162055336	10000.0	5965963	0.0204626824	0.03631997108459473	Parallel	
304	3.137254902	10000.0	7362558	-0.0043377516	0.03168082237243652	Parallel	
305	3.1610557926	10000.0	1372064	0.019463139	0.031913042068481445	Parallel	
306	3.1416902293	10000.0	8865276	9.75758e-05	0.03123784065246582	Parallel	
307	3.1289111389	10000.0	4866358	-0.0126815147	0.03119683265686035	Parallel	
308	3.1343049679	10000.0	3765002	-0.0072876857	0.031333208084106445	Parallel	
309	3.1065548307	10000.0	4397552	-0.0350378229	0.034049034118652344	Parallel	
310	3.0959752322	10000.0	6716936	-0.0456174214	0.035188913345336914	Parallel	
311	3.1269543465	10000.0	6692914	-0.0146383071	0.03319692611694336	Parallel	
312	3.1550717779	10000.0	5573906	0.0134791243	0.04394698143005371	Parallel	
313	3.1274433151	10000.0	772471	-0.0141493385	0.056298017501831055	Parallel	
314	3.1640563202	10000.0	829096	0.0224636666	0.05005598068237305	Parallel	
315	3.1392246115	10000.0	4070331	-0.0023680421	0.04071617126464844	Parallel	
316	3.1142946123	10000.0	5159840	-0.0272980413	0.0322422981262207	Parallel	
317	3.1625553447	10000.0	1182200	0.0209626911	0.03696608543395996	Parallel	
318	3.1610557926	10000.0	2113269	0.019463139	0.03150796890258789	Parallel	
319	3.1352876626	10000.0	2264959	-0.0063049909	0.042481184005737305	Parallel	
320	3.1525851198	10000.0	2148789	0.0109924662	0.03665900230407715	Parallel	
321	3.1640563202	10000.0	1100204	0.0224636666	0.03796887397766113	Parallel	
